"country","iso3c","Country Name","Year","GDP Growth","neg_growth","iso2c","status","lastupdated","SP.POP.TOTL","region","capital","longitude","latitude","income","lending","GDP Growth Avg (2010-19)"
"East Asia and Pacific","EAS","East Asia and Pacific",2020,1.2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.142874782552167
"East Asia and Pacific","EAS","East Asia and Pacific",2021,7.2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.142874782552167
"East Asia and Pacific","EAS","East Asia and Pacific",2022,3.2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.142874782552167
"East Asia and Pacific","EAS","East Asia and Pacific",2023,4.3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.142874782552167
"East Asia and Pacific","EAS","East Asia and Pacific",2024,4.9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.142874782552167
"Europe and Central Asia","ECS","Europe and Central Asia",2020,-1.7,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.899653475099797
"Europe and Central Asia","ECS","Europe and Central Asia",2021,6.7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.899653475099797
"Europe and Central Asia","ECS","Europe and Central Asia",2022,0.2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.899653475099797
"Europe and Central Asia","ECS","Europe and Central Asia",2023,0.1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.899653475099797
"Europe and Central Asia","ECS","Europe and Central Asia",2024,2.8,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.899653475099797
"Latin America and the Caribbean","LCN","Latin America and the Caribbean",2020,-6.2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.229303083150333
"Latin America and the Caribbean","LCN","Latin America and the Caribbean",2021,6.8,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.229303083150333
"Latin America and the Caribbean","LCN","Latin America and the Caribbean",2022,3.6,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.229303083150333
"Latin America and the Caribbean","LCN","Latin America and the Caribbean",2023,1.3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.229303083150333
"Latin America and the Caribbean","LCN","Latin America and the Caribbean",2024,2.4,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.229303083150333
"Middle East and North Africa","MEA","Middle East and North Africa",2020,-3.6,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.014009308851295
"Middle East and North Africa","MEA","Middle East and North Africa",2021,3.7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.014009308851295
"Middle East and North Africa","MEA","Middle East and North Africa",2022,5.7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.014009308851295
"Middle East and North Africa","MEA","Middle East and North Africa",2023,3.5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.014009308851295
"Middle East and North Africa","MEA","Middle East and North Africa",2024,2.7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.014009308851295
"South Asia","SAS","South Asia",2020,-4.5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2734334976755575
"South Asia","SAS","South Asia",2021,7.9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2734334976755575
"South Asia","SAS","South Asia",2022,6.1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2734334976755575
"South Asia","SAS","South Asia",2023,5.5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2734334976755575
"South Asia","SAS","South Asia",2024,5.8,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2734334976755575
"Sub-Saharan Africa","SSF","Sub-Saharan Africa",2020,-2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4653045447105457
"Sub-Saharan Africa","SSF","Sub-Saharan Africa",2021,4.3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4653045447105457
"Sub-Saharan Africa","SSF","Sub-Saharan Africa",2022,3.4,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4653045447105457
"Sub-Saharan Africa","SSF","Sub-Saharan Africa",2023,3.6,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4653045447105457
"Sub-Saharan Africa","SSF","Sub-Saharan Africa",2024,3.9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4653045447105457
"World (WBG members)","WLT","World (WBG members)",2020,-3.2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.160060688728191
"World (WBG members)","WLT","World (WBG members)",2021,5.9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.160060688728191
"World (WBG members)","WLT","World (WBG members)",2022,2.9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.160060688728191
"World (WBG members)","WLT","World (WBG members)",2023,1.7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.160060688728191
"World (WBG members)","WLT","World (WBG members)",2024,2.7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.160060688728191
"East Asia & Pacific","EAS","East Asia and Pacific",1961,3.77635723228099,FALSE,"Z4","","2022-12-22",1045203037,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1995,5.66872802325594,FALSE,"Z4","","2022-12-22",1940892820,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1994,5.23701352900083,FALSE,"Z4","","2022-12-22",1917553356,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1999,3.73364972780317,FALSE,"Z4","","2022-12-22",2028993034,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1962,5.49186706292922,FALSE,"Z4","","2022-12-22",1059600211,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1998,0.447843030025965,FALSE,"Z4","","2022-12-22",2008680261,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",2004,5.86708910547335,FALSE,"Z4","","2022-12-22",2116651449,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1976,4.25754402714995,FALSE,"Z4","","2022-12-22",1464087148,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1977,5.42281231871868,FALSE,"Z4","","2022-12-22",1486953865,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1978,5.79801941090139,FALSE,"Z4","","2022-12-22",1510060320,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1979,5.91494466743742,FALSE,"Z4","","2022-12-22",1533514709,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1980,3.78656142258819,FALSE,"Z4","","2022-12-22",1556403010,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1996,5.61958864772424,FALSE,"Z4","","2022-12-22",1964042971,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1997,4.0544847087214,FALSE,"Z4","","2022-12-22",1986768093,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1983,4.42727608468452,FALSE,"Z4","","2022-12-22",1631735726,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1984,6.16005098968499,FALSE,"Z4","","2022-12-22",1656258164,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1985,5.70025213662655,FALSE,"Z4","","2022-12-22",1681267266,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1986,4.92477499713306,FALSE,"Z4","","2022-12-22",1707611028,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1974,0.879557732080201,FALSE,"Z4","","2022-12-22",1413718269,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1975,3.70488579519571,FALSE,"Z4","","2022-12-22",1439944265,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1989,5.15125721096558,FALSE,"Z4","","2022-12-22",1791156275,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1990,5.06970601468393,FALSE,"Z4","","2022-12-22",1818247576,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1991,4.85256209542524,FALSE,"Z4","","2022-12-22",1844603995,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1992,4.2359307771344,FALSE,"Z4","","2022-12-22",1869453624,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",1993,4.20082036826655,FALSE,"Z4","","2022-12-22",1893594516,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",2007,7.46728778706076,FALSE,"Z4","","2022-12-22",2164155292,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",2008,4.38605522630114,FALSE,"Z4","","2022-12-22",2179914111,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",2009,2.55996353542018,FALSE,"Z4","","2022-12-22",2195169711,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",2010,7.60930266076711,FALSE,"Z4","","2022-12-22",2210203758,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",2011,5.46500060840098,FALSE,"Z4","","2022-12-22",2225992094,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
"East Asia & Pacific","EAS","East Asia and Pacific",2012,5.17944525559686,FALSE,"Z4","","2022-12-22",2243776727,"Aggregates","","","","Aggregates","Aggregates",5.142874782552167
