"region","region_iso3c","Indicator Name","Indicator Code","date","gdp_grwth","gdp","gdp_for20_grwth","gdp_forc20","gdp_2019","gdp_dollars","gdp_forc20_dollars","gap_dollars","gap_relative"
"East Asia and Pacific","EAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2019,5.8,100,5.8,100,26346694794873.7,26346694794873.7,26346694794873.7,"$0","0.0000%"
"East Asia and Pacific","EAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2020,1.2,101.2,5.7,105.69999999999999,26346694794873.7,26662855132412.184,27848456398181.5,"-$1,185,601,265,769","-4.2573%"
"East Asia and Pacific","EAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2021,7.2,108.4864,5.6,111.61919999999999,26346694794873.7,28582580701945.863,29407969956479.664,"-$825,389,254,534","-2.8067%"
"East Asia and Pacific","EAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2022,4.4,113.2598016,5.6,117.8698752,26346694794873.7,29840214252831.48,31054816274042.527,"-$1,214,602,021,211","-3.9112%"
"East Asia and Pacific","EAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2023,5.2,119.1493112832,5.6,124.4705882112,26346694794873.7,31391905393978.72,32793885985388.91,"-$1,401,980,591,410","-4.2751%"
"East Asia and Pacific","EAS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2024,5.1,125.2259261586432,5.6,131.4409411510272,26346694794873.7,32992892569071.633,34630343600570.69,"-$1,637,451,031,499","-4.7284%"
"Europe and Central Asia","ECS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2019,2.7,100,2,100,22341128048074.7,22341128048074.7,22341128048074.7,"$0","0.0000%"
"Europe and Central Asia","ECS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2020,-1.9,98.1,2.6,102.60000000000001,22341128048074.7,21916646615161.28,22921997377324.64,"-$1,005,350,762,163","-4.3860%"
"Europe and Central Asia","ECS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2021,6.5,104.47649999999999,2.9,105.5754,22341128048074.7,23341228645146.76,23586735301267.055,"-$245,506,656,120","-1.0409%"
"Europe and Central Asia","ECS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2022,-2.9,101.44668149999998,2.9,108.63708659999999,22341128048074.7,22664333014437.504,24270750625003.797,"-$1,606,417,610,566","-6.6187%"
"Europe and Central Asia","ECS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2023,1.5,102.96838172249997,2.9,111.78756211139998,22341128048074.7,23004298009654.063,24974602393128.906,"-$1,970,304,383,475","-7.8892%"
"Europe and Central Asia","ECS","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2024,3.3,106.36633831934246,2.9,115.02940141263056,22341128048074.7,23763439843972.645,25698865862529.64,"-$1,935,426,018,557","-7.5312%"
"Latin America and the Caribbean","LCN","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2019,0.8,100,0.8,100,5593962322067.49,5593962322067.49,5593962322067.49,"$0","0.0000%"
"Latin America and the Caribbean","LCN","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2020,-6.4,93.6,1.8,101.8,5593962322067.49,5235948733455.171,5694653643864.705,"-$458,704,910,410","-8.0550%"
"Latin America and the Caribbean","LCN","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2021,6.7,99.87119999999999,2.4,104.2432,5593962322067.49,5586757298596.667,5831325331317.458,"-$244,568,032,721","-4.1940%"
"Latin America and the Caribbean","LCN","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2022,2.5,102.36797999999997,2.6,106.9535232,5593962322067.49,5726426231061.583,5982939789931.712,"-$256,513,558,870","-4.2874%"
"Latin America and the Caribbean","LCN","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2023,1.9,104.31297161999997,2.6,109.73431480320001,5593962322067.49,5835228329451.753,6138496224469.937,"-$303,267,895,018","-4.9404%"
"Latin America and the Caribbean","LCN","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2024,2.4,106.81648293887997,2.6,112.58740698808322,5593962322067.49,5975273809358.595,6298097126306.155,"-$322,823,316,948","-5.1257%"
"Middle East and North Africa","MEA","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2019,0.9,100,0.1,100,3460993630205.8,3460993630205.8,3460993630205.8,"$0","0.0000%"
"Middle East and North Africa","MEA","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2020,-3.7,96.3,2.4,102.4,3460993630205.8,3332936865888.185,3544057477330.7393,"-$211,120,611,443","-5.9570%"
"Middle East and North Africa","MEA","GDP growth, constant (average 2010-19 prices and exchange rates)","NYGDPMKTPKDZ",2021,3.4,99.5742,2.7,105.1648,3460993630205.8,3446256719328.3833,3639747029218.669,"-$193,490,309,890","-5.3160%"
