"country","iso3c","date","gdp_grwth","gdp","gdp_for20_grwth","gdp_forc20","gdp_dollars","gdp_forc20_dollars","gap_dollars","gap_relative"
"Afghanistan","AFG",2015,NA,90.60418813623977,NA,90.60418813623977,19998156214.3988,19998156214.3988,"$0","0.0%"
"Albania","ALB",2015,NA,87.80937522267833,NA,87.80937522267833,11386850129.8411,11386850129.8411,"$0","0%"
"Algeria","DZA",2015,NA,93.58558750140315,NA,93.58558750140315,165979279263.174,165979279263.174,"$0","0.000%"
"American Samoa","ASM",2015,NA,107.02614379084967,NA,107.02614379084967,673000000,673000000,"$0","0%"
"Andorra","AND",2015,NA,92.71890400305098,NA,92.71890400305098,2789870187.50693,2789870187.50693,"$0","0%"
"Angola","AGO",2015,NA,104.90813970911711,NA,104.90813970911711,87219300384.5072,87219300384.5072,"$0","0.000%"
"Antigua and Barbuda","ATG",2015,NA,81.99482288828338,NA,81.99482288828338,1336692592.59259,1336692592.59259,"$0","0.0%"
"Argentina","ARG",2015,NA,104.07708778221757,NA,104.07708778221757,594749285413.212,594749285413.212,"$0","0.00%"
"Armenia","ARM",2015,NA,82.01547473122375,NA,82.01547473122375,10553337672.9872,10553337672.9872,"$0","0.00%"
"Aruba","ABW",2015,NA,87.64347331281813,NA,87.64347331281813,2963128491.62011,2963128491.62011,"$0","0.000%"
"Australia","AUS",2015,NA,90.53724305606703,NA,90.53724305606703,1350615691821.28,1350615691821.28,"$0","0.000%"
"Austria","AUT",2015,NA,92.21403700762477,NA,92.21403700762477,381971148530.543,381971148530.543,"$0","0.00%"
"Azerbaijan","AZE",2015,NA,98.99621568989565,NA,98.99621568989565,53074370486.0433,53074370486.0433,"$0","0.000%"
"Bahamas, The","BHS",2015,NA,94.33097410128585,NA,94.33097410128585,11861900000,11861900000,"$0","0.0%"
"Bahrain","BHR",2015,NA,88.75352494101946,NA,88.75352494101946,31050638297.8723,31050638297.8723,"$0","0.00%"
"Bangladesh","BGD",2015,NA,75.6504407281189,NA,75.6504407281189,195078678697.23,195078678697.23,"$0","0.000%"
"Barbados","BRB",2015,NA,98.22293516174246,NA,98.22293516174246,4724691200,4724691200,"$0","0.00%"
"Belarus","BLR",2015,NA,95.66414309432584,NA,95.66414309432584,56454734396.5842,56454734396.5842,"$0","0.00%"
"Belgium","BEL",2015,NA,93.37139282223552,NA,93.37139282223552,462335574841.484,462335574841.484,"$0","0.000%"
