"country","iso3c","region","gdp_2019","gdp_2020","gdp_2021","SP.POP.TOTL_2019","SP.POP.TOTL_2020","SP.POP.TOTL_2021","tourism_gdp_share_2019","tourism_gdp_share_2020","tourism_gdp_share_2021","tourism_2019","tourism_2020","tourism_2021","change_gdp","tourism"
"Afghanistan","AFG","South Asia",22071999789.1576,21553064853.4717,17091580428.803059,37769499,38972230,38972230,0.3851033019751769,0.3851033019751769,0.3851033019751769,"< 5% GDP","< 5% GDP","< 5% GDP",-22.564422834042734,"< 5% GDP"
"Albania","ALB","Europe & Central Asia",12967692915.4374,12516205780.1976,13580083271.514395,2854191,2837849,2837849,18.95479802019272,18.95479802019272,18.95479802019272,">= 10% GDP",">= 10% GDP",">= 10% GDP",4.7224310451396745,">= 10% GDP"
"Algeria","DZA","Middle East & North Africa",177355598970.499,168310463422.672,174201329642.4655,42705368,43451666,43451666,0.07893745718356901,0.07893745718356901,0.07893745718356901,"< 5% GDP","< 5% GDP","< 5% GDP",-1.7785000001934832,"< 5% GDP"
"Angola","AGO","Sub-Saharan Africa",83138735112.7792,78482965946.1149,79110829673.68382,32353588,33428486,33428486,0.4751094654786067,0.4751094654786067,0.4751094654786067,"< 5% GDP","< 5% GDP","< 5% GDP",-4.844800000422734,"< 5% GDP"
"Antigua and Barbuda","ATG","Latin America & Caribbean",1630215842.3024,1301036618.29788,1369601248.082178,92117,92664,92664,62.458742379257124,62.458742379257124,62.458742379257124,">= 10% GDP",">= 10% GDP",">= 10% GDP",-15.98650850136192,">= 10% GDP"
"Argentina","ARG","Latin America & Caribbean",571450737224.442,514630046744.607,568151571606.0461,44938712,45376763,45376763,0.9894116205819758,0.9894116205819758,0.9894116205819758,"< 5% GDP","< 5% GDP","< 5% GDP",-0.5773315884445345,"< 5% GDP"
"Armenia","ARM","Europe & Central Asia",12867495686.1153,11941035996.715,12621675048.527754,2820602,2805608,2805608,12.069170551001374,12.069170551001374,12.069170551001374,">= 10% GDP",">= 10% GDP",">= 10% GDP",-1.91039999999999,">= 10% GDP"
"Aruba","ABW","Latin America & Caribbean",3380888935.15673,2752412117.66957,3224836133.546375,106442,106585,106585,61.84763948488199,61.84763948488199,61.84763948488199,">= 10% GDP",">= 10% GDP",">= 10% GDP",-4.615732862077031,">= 10% GDP"
"Australia","AUS","East Asia & Pacific",1491779124514.41,1491020027693.27,1564169470251.902,25340217,25655289,25655289,3.2144839146753186,3.2144839146753186,3.2144839146753186,"< 5% GDP","< 5% GDP","< 5% GDP",4.852618229327751,"< 5% GDP"
"Austria","AUT","Europe & Central Asia",414222347188.812,387488567518.429,405316916509.95197,8879920,8916864,8916864,6.104933780521781,6.104933780521781,6.104933780521781,"5-10% GDP","5-10% GDP","5-10% GDP",-2.1499155560529783,"5-10% GDP"
"Azerbaijan","AZE","Europe & Central Asia",53612524596.1907,51307185983.705,54180388398.79249,10024283,10093121,10093121,3.7381190591095503,3.7381190591095503,3.7381190591095503,"< 5% GDP","< 5% GDP","< 5% GDP",1.0591998919635646,"< 5% GDP"
"Bahamas, The","BHS","Latin America & Caribbean",12574766785.7893,9579129439.06867,10891470172.221079,404557,406471,406471,28.676476163956597,28.676476163956597,28.676476163956597,">= 10% GDP",">= 10% GDP",">= 10% GDP",-13.386304829688846,">= 10% GDP"
"Bahrain","BHR","Middle East & North Africa",34985245170.2699,33258424204.4726,33990109536.970997,1494188,1477469,1477469,11.033222666337604,11.033222666337604,11.033222666337604,">= 10% GDP",">= 10% GDP",">= 10% GDP",-2.844443788962087,">= 10% GDP"
"Bangladesh","BGD","South Asia",257868529012.707,266759891218.313,285166323712.3766,165516222,167420951,167420951,0.15162765363303898,0.15162765363303898,0.15162765363303898,"< 5% GDP","< 5% GDP","< 5% GDP",10.585934935210505,"< 5% GDP"
"Barbados","BRB","Latin America & Caribbean",4810171058.54138,4169888153.51001,4199077370.5845795,280180,280693,280693,22.10814335978875,22.10814335978875,22.10814335978875,">= 10% GDP",">= 10% GDP",">= 10% GDP",-12.704198676504166,">= 10% GDP"
"Belarus","BLR","Europe & Central Asia",59013474192.6442,58600611434.1156,60124227331.40261,9419758,9379952,9379952,2.18594146107872,2.18594146107872,2.18594146107872,"< 5% GDP","< 5% GDP","< 5% GDP",1.8822025883994788,"< 5% GDP"
"Belgium","BEL","Europe & Central Asia",495157628977.109,468610314043.125,497875028155.1181,11488980,11538604,11538604,2.1326542058565727,2.1326542058565727,2.1326542058565727,"< 5% GDP","< 5% GDP","< 5% GDP",0.548794771398891,"< 5% GDP"
"Benin","BEN","Sub-Saharan Africa",14179807375.1016,14725520536.3954,15785758015.01587,12290444,12643123,12643123,1.31888218147102,1.31888218147102,1.31888218147102,"< 5% GDP","< 5% GDP","< 5% GDP",11.325616755091932,"< 5% GDP"
"Bermuda","BMU","North America",6840793088.0543,6373022721.95909,NA,63911,63893,63893,8.785531038053076,8.785531038053076,8.785531038053076,"5-10% GDP","5-10% GDP","5-10% GDP",NA,"5-10% GDP"
"Bhutan","BTN","South Asia",2470944511.87689,2223610397.35509,2150231254.242372,767459,772506,772506,4.856442523221612,4.856442523221612,4.856442523221612,"< 5% GDP","< 5% GDP","< 5% GDP",-12.979379184476686,"< 5% GDP"
"Bolivia","BOL","Latin America & Caribbean",38193230057.6737,34855949753.6257,36982162688.59687,11777315,11936162,11936162,2.4506961013420256,2.4506961013420256,2.4506961013420256,"< 5% GDP","< 5% GDP","< 5% GDP",-3.170895384464879,"< 5% GDP"
"Bosnia and Herzegovina","BIH","Europe & Central Asia",18404449050.1843,17830360816.558,19167637877.799847,3360711,3318407,3318407,6.661432769092987,6.661432769092987,6.661432769092987,"5-10% GDP","5-10% GDP","5-10% GDP",4.146762695990102,"5-10% GDP"
"Botswana","BWA","Sub-Saharan Africa",16211710501.9077,14797010398.2463,16483869583.64638,2499702,2546402,2546402,3.5289305217526468,3.5289305217526468,3.5289305217526468,"< 5% GDP","< 5% GDP","< 5% GDP",1.6787807906306604,"< 5% GDP"
"Brazil","BRA","Latin America & Caribbean",1819685405632.83,1749105698451.8,1836560983374.3901,211782878,213196304,213196304,0.3367065527389455,0.3367065527389455,0.3367065527389455,"< 5% GDP","< 5% GDP","< 5% GDP",0.9273898493289975,"< 5% GDP"
"Bulgaria","BGR","Europe & Central Asia",57444273407.3906,55170276014.5092,59363216991.6119,6975761,6934015,6934015,8.399444738001039,8.399444738001039,8.399444738001039,"5-10% GDP","5-10% GDP","5-10% GDP",3.3405306924369818,"5-10% GDP"
"Burkina Faso","BFA","Sub-Saharan Africa",15001629028.4851,15291209207.4632,16346302642.77816,20951639,21522626,21522626,1.2610745523587685,1.2610745523587685,1.2610745523587685,"< 5% GDP","< 5% GDP","< 5% GDP",8.963517306952422,"< 5% GDP"
"Cabo Verde","CPV","Sub-Saharan Africa",1915123782.86887,1632003277.60234,1746243507.034504,577030,582640,582640,29.606441373237487,29.606441373237487,29.606441373237487,">= 10% GDP",">= 10% GDP",">= 10% GDP",-8.81824336082246,">= 10% GDP"
"Cambodia","KHM","East Asia & Pacific",23760061873.3006,23024448758.5057,23715182221.26087,16207746,16396860,16396860,22.356844137553125,22.356844137553125,22.356844137553125,">= 10% GDP",">= 10% GDP",">= 10% GDP",-0.1888869325300787,">= 10% GDP"
"Cameroon","CMR","Sub-Saharan Africa",37502066705.0088,37599546920.5223,38953130609.6611,25782341,26491087,26491087,1.8158999218809593,1.8158999218809593,1.8158999218809593,"< 5% GDP","< 5% GDP","< 5% GDP",3.869290500884584,"< 5% GDP"
"Cayman Islands","CYM","Latin America & Caribbean",5432239889.59558,5123472698.90796,NA,66134,67311,67311,17.175235611133147,17.175235611133147,17.175235611133147,">= 10% GDP",">= 10% GDP",">= 10% GDP",NA,">= 10% GDP"
"Chile","CHL","Latin America & Caribbean",262080762440.351,246412987238.941,275243306745.8971,19039485,19300315,19300315,1.2713638227293984,1.2713638227293984,1.2713638227293984,"< 5% GDP","< 5% GDP","< 5% GDP",5.022323723032455,"< 5% GDP"
