"iso3c","tourism","change_gdp","pop"
"AFG","< 5% GDP",-22.5644228340427,38972230
"ALB",">= 10% GDP",4.72243104513967,2837849
"DZA","< 5% GDP",-1.77850000019348,43451666
"AGO","< 5% GDP",-4.84480000042273,33428486
"ATG",">= 10% GDP",-15.9865085013619,92664
"ARG","< 5% GDP",-0.577331588444534,45376763
"ARM",">= 10% GDP",-1.91039999999999,2805608
"ABW",">= 10% GDP",-4.61573286207703,106585
"AUS","< 5% GDP",4.85261822932775,25655289
"AUT","5-10% GDP",-2.14991555605298,8916864
"AZE","< 5% GDP",1.05919989196356,10093121
"BHS",">= 10% GDP",-13.3863048296888,406471
"BHR",">= 10% GDP",-2.84444378896209,1477469
"BGD","< 5% GDP",10.5859349352105,167420951
"BRB",">= 10% GDP",-12.7041986765042,280693
"BLR","< 5% GDP",1.88220258839948,9379952
"BEL","< 5% GDP",0.548794771398891,11538604
"BEN","< 5% GDP",11.3256167550919,12643123
"BTN","< 5% GDP",-12.9793791844767,772506
"BOL","< 5% GDP",-3.17089538446488,11936162
"BIH","5-10% GDP",4.1467626959901,3318407
"BWA","< 5% GDP",1.67878079063066,2546402
"BRA","< 5% GDP",0.927389849328998,213196304
"BGR","5-10% GDP",3.34053069243698,6934015
"BFA","< 5% GDP",8.96351730695242,21522626
"CPV",">= 10% GDP",-8.81824336082246,582640
"KHM",">= 10% GDP",-0.188886932530079,16396860
"CMR","< 5% GDP",3.86929050088458,26491087
"CHL","< 5% GDP",5.02232372303246,19300315
"COL","< 5% GDP",2.89769661289282,50930662
"COM","5-10% GDP",2.00014092265273,806166
"COG","< 5% GDP",-8.3020546000723,5702174
"CRI","5-10% GDP",3.43312099201487,5123105
"CIV","< 5% GDP",9.11733866585714,26811790
"HRV",">= 10% GDP",3.39563204317861,4047680
"CYP",">= 10% GDP",0.968323130973619,1237537
"ECU","< 5% GDP",-3.91468658875355,17588595
"EGY","< 5% GDP",6.9874685677252,107465134
"SLV","5-10% GDP",1.18870638373437,6292731
"EST","5-10% GDP",7.41784701146955,1329522
"SWZ","< 5% GDP",6.21714564539561,1180655
"FJI",">= 10% GDP",-21.2332230337657,920422
"FIN","< 5% GDP",0.751199263937431,5529543
"FRA","< 5% GDP",-1.54529161370583,67571107
"GAB","< 5% GDP",-0.365327479461544,2292573
"GMB",">= 10% GDP",4.91692124125297,2573995
"GEO",">= 10% GDP",2.93647444197135,3722716
"GHA","< 5% GDP",5.94169449732994,32180401
"GRC",">= 10% GDP",-1.41862072002051,10698599
"GTM","< 5% GDP",6.09479044030928,16858333
"GIN","< 5% GDP",9.01215676095812,13205153
"GNB","< 5% GDP",2.48000000082187,2015828
"HND","< 5% GDP",2.41464479294855,10121763
"HKG","5-10% GDP",-0.617158111947442,7481000
"HUN","5-10% GDP",2.22988044531848,9750149
"IND","< 5% GDP",1.53006047223652,1396387127
"IDN","< 5% GDP",1.55858987625644,271857970
"IRN","< 5% GDP",8.18681201685148,87290193
"IRQ","< 5% GDP",-8.84127684094404,42556984
"IRL","< 5% GDP",20.6128930675305,4985382
"ISR","< 5% GDP",6.5947609692564,9215100
"ITA","< 5% GDP",-2.94381108884911,59438851
"JPN","< 5% GDP",-2.92458395053176,126261000
"JOR",">= 10% GDP",0.595998225264343,10928721
"KAZ","< 5% GDP",1.49750000000016,18755666
"KEN","< 5% GDP",7.23108261715897,51985780
"KIR","< 5% GDP",0.944791147225671,126463
"KOR","< 5% GDP",3.40617937395493,51836239
"KWT","< 5% GDP",-7.67039754949623,4360444
"KGZ","5-10% GDP",-5.10070541025955,6579900
"LAO","5-10% GDP",3.0156076254511,7319399
"LBN",">= 10% GDP",-26.9019069297505,5662923
"LUX","5-10% GDP",6.03464502174764,630419
"MAC",">= 10% GDP",-46.0029384341582,676283
"MDG","5-10% GDP",-3.05172917287328,28225177
"MWI","< 5% GDP",3.62239828416797,19377061
"MYS","5-10% GDP",-2.60602436037171,33199993
"MDV",">= 10% GDP",-5.75929162945367,514438
"MLI","< 5% GDP",1.8262505890633,21224040
"MHL","5-10% GDP",-0.761853984668549,43413
"MRT","< 5% GDP",1.43895946186328,4498604
"MUS",">= 10% GDP",-11.5229047741924,1265740
"MEX","< 5% GDP",-3.66334422013461,125998302
"MDA","5-10% GDP",5.49397252693015,2635130
"MNG","< 5% GDP",-3.03067600495064,3294335
"MNE",">= 10% GDP",-4.29678994545589,621306
"MAR","5-10% GDP",0.145141131569515,36688772
"MOZ","< 5% GDP",1.03771445795323,31178239
"MMR","< 5% GDP",-15.3975049916632,53423198
"NAM","< 5% GDP",-5.55319143049872,2489098
"NPL","< 5% GDP",1.73085530715733,29348627
"NLD","< 5% GDP",0.795624934148504,17441500
"NER","< 5% GDP",4.99993069124835,24333639
"NGA","< 5% GDP",1.74115380670004,208327405
"MKD","< 5% GDP",-2.44921129275708,2072531
"NOR","< 5% GDP",3.13598347136179,5379475
"OMN","< 5% GDP",-0.384485546319981,4543399
"PAK","< 5% GDP",4.35328957233985,227196741
"PLW",">= 10% GDP",-24.6498745069918,17972
"PAN",">= 10% GDP",-5.39046231762855,4294396
"PNG","< 5% GDP",-3.07054855747301,9749640
"PRY","< 5% GDP",3.24660340799838,6618695
"PER","< 5% GDP",0.890592109475616,33304756
"PHL","< 5% GDP",-4.36083754091882,112190977
"POL","< 5% GDP",4.64256445654033,37899070
"PRT",">= 10% GDP",-3.82191324571325,10297081
"PRI","< 5% GDP",-1.77096884770795,3281538
"QAT","5-10% GDP",-2.19505654546955,2760385
"ROU","< 5% GDP",1.2349361584301,19265250
"RUS","< 5% GDP",1.95874064468332,144073139
"RWA","5-10% GDP",7.17503166852031,13146362
"WSM",">= 10% GDP",-9.98774448578364,214929
"SAU","< 5% GDP",-1.07007582754305,35997107
"SEN","< 5% GDP",7.50636095446711,16436120
"SRB","< 5% GDP",6.4190426834019,6899126
"SYC",">= 10% GDP",-0.400393594413633,98462
"SVK","< 5% GDP",-0.455630902048249,5458827
"SVN","5-10% GDP",3.53480241262986,2102419
"SLB","5-10% GDP",-3.57528338968575,691191
"ZAF","< 5% GDP",-1.75325223454884,58801927
"LKA","< 5% GDP",-0.286882614056852,21919000
"VCT",">= 10% GDP",-4.64983475384261,104632
"SUR","< 5% GDP",-18.243866090815,607065
"CHE","< 5% GDP",1.75395039359315,8638167
"TJK","< 5% GDP",14.0048542751032,9543207
"TZA","< 5% GDP",6.3821862770469,61704518
"THA",">= 10% GDP",-4.78842149697455,71475664
"TGO","5-10% GDP",7.14572469045168,8442580
"TON",">= 10% GDP",-2.22454810041581,105254
"TTO","< 5% GDP",-8.32827570915332,1518147
"TUN","5-10% GDP",-4.60046544822667,12161723
"TUR","< 5% GDP",13.5611959214766,84135428
"UGA","< 5% GDP",6.55460214634976,44404611
"UKR","< 5% GDP",-0.480399439348085,44132049
"ARE","5-10% GDP",-1.25037748155209,9287289
"USA","< 5% GDP",2.96889714042128,331501080
"URY","< 5% GDP",-1.99082123630953,3429086
"UZB","< 5% GDP",9.42582740793989,34232050
"VUT",">= 10% GDP",-4.92323548579035,311685
"VNM","< 5% GDP",5.53991265672024,96648685
"ZMB","< 5% GDP",0.714682952192091,18927715
"ZWE","< 5% GDP",-2.47033378432862,15669666
